"codebook","name","category","num"
"914"," Urinary crystals or stones in bladder or urethra ","Kidney/Urinary",914
"915"," Urinary incontinence ","Kidney/Urinary",915
"916"," Urinary tract infection (chronic or recurrent) ","Kidney/Urinary",916
"998"," Other kidney condition ","Kidney/Urinary",998
"1001"," Cryptorchid ","Reproductive",1001
"1015"," Recessed vulva ","Reproductive",1015
"1017"," Vaginitis ","Reproductive",1017
"1098"," Other reproductive condition ","Reproductive",1098
"1105"," Cruciate ligament rupture ","Bone/Orthopedic",1105
"1106"," Degenerative joint disease ","Bone/Orthopedic",1106
"1108"," Elbow dysplasia ","Bone/Orthopedic",1108
"1110"," Hip dysplasia ","Bone/Orthopedic",1110
"1111"," Intervertebral disc disease (IVDD) (Orthopedic) ","Bone/Orthopedic",1111
"1112"," Lameness (chronic or recurrent) ","Bone/Orthopedic",1112
"1113"," Osteoarthritis ","Bone/Orthopedic",1113
"1117"," Patellar luxation ","Bone/Orthopedic",1117
"1118"," Rheumatoid arthritis ","Bone/Orthopedic",1118
"1119"," Spondylosis ","Bone/Orthopedic",1119
"1198"," Other orthopedic condition ","Bone/Orthopedic",1198
"1205"," Dementia or senility ","Brain/Neurologic",1205
"1210"," Intervertebral disc disease (IVDD) (Neurologic) ","Brain/Neurologic",1210
"1211"," Laryngeal paralysis (Neurologic) ","Brain/Neurologic",1211
"1215"," Seizures (including epilepsy) ","Brain/Neurologic",1215
"1216"," Vestibular disease ","Brain/Neurologic",1216
"1298"," Other neurologic condition ","Brain/Neurologic",1298
"1304"," Addison's disease (hypoadrenocorticism; low adrenal function) ","Endocrine",1304
"1305"," Cushing's disease (hyperadrenocorticism; excess adrenal function) ","Endocrine",1305
"1307"," Diabetes mellitus (common diabetes which causes high blood sugar) ","Endocrine",1307
"1312"," Hypothyroidism (low thyroid function) ","Endocrine",1312
"1407"," Anemia ","Hematopoietic",1407
"1598"," Other congenital disorder ","Other congenital disorder",1598
"1601"," Anaplasmosis ","Infection/Parasites",1601
"1605"," Bordetella and/or parainfluenza (\\kennel cough\\)\\\\ ","Infection/Parasites",1605
"1609"," Coccidia ","Infection/Parasites",1609
"1612"," Dermatophytosis (\\ringworm\\)\\\\ ","Infection/Parasites",1612
"1614"," Ehrlichiosis ","Infection/Parasites",1614
"1615"," Fever of unknown origin ","Infection/Parasites",1615
"1616"," Gastrointestinal parasites ","Infection/Parasites",1616
"1617"," Giardia ","Infection/Parasites",1617
"1619"," Heartworm infection ","Infection/Parasites",1619
"1622"," Hookworms ","Infection/Parasites",1622
"1627"," Lyme disease ","Infection/Parasites",1627
"1630"," Parvovirus ","Infection/Parasites",1630
"1634"," Roundworms ","Infection/Parasites",1634
"1637"," Tapeworms ","Infection/Parasites",1637
"1640"," Whipworms ","Infection/Parasites",1640
"1698"," Other infectious disease ","Infection/Parasites",1698
"1701"," Chocolate ","Toxin Consumption",1701
"1703"," Grapes or raisins ","Toxin Consumption",1703
"1704"," Ingestion of human medications ","Toxin Consumption",1704
"1705"," Ingestion of recreational drugs ","Toxin Consumption",1705
"1708"," Mouse or rat bait/poison (Warfarin) ","Toxin Consumption",1708
"1709"," Mouse or rat bait/poison (Other/Unknown) ","Toxin Consumption",1709
"1710"," Overdose of medications prescribed to the dog ","Toxin Consumption",1710
"1798"," Other ToxinConsumption ","Toxin Consumption",1798
"1801"," Dog bite ","Trauma",1801
"1802"," Bite wound from another animal ","Trauma",1802
"1803"," Fall from height ","Trauma",1803
"1804"," Fractured bone (long bone in limb) ","Trauma",1804
"1805"," Fractured bone (other bone in limb) ","Trauma",1805
"1809"," Head trauma due to any cause ","Trauma",1809
"1810"," Hit by car or other vehicle ","Trauma",1810
"1811"," Kicked by horse or other large animal ","Trauma",1811
"1812"," Laceration ","Trauma",1812
"1813"," Penetrating wound (such as a stick) ","Trauma",1813
"1815"," Snakebite ","Trauma",1815
"1816"," Tail injury ","Trauma",1816
"1817"," Torn or broken toenail ","Trauma",1817
"1898"," Other trauma ","Trauma",1898
"1998"," Other Immune","Immune-mediated",1998
"hs_cancer_types_lipoma","Lipoma","Cancer",2018
"hs_cancer_types_mast_cell_tumor","Mast cell tumor","Cancer",2020
"hs_cancer_types_melanoma","Melanoma","Cancer",2021
"hs_cancer_types_other","Other","Cancer",2098
"hs_cancer_types_soft_tissue_sarcoma","Soft tissue sarcoma","Cancer",2031
"hs_cancer_types_unknown","Unknown","Cancer",2099
